Group,Title,Website,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
LaSEEB,"LaSEEB, Instituto Superior Tecnico","<a href=""https://www.laseeb.org/"" target=""_blank"">view website</a> ",https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""https://tecnico.ulisboa.pt/"" target=""_blank"">view website</a> more not in the link","Lisboa, Portugal",38.73533039,-9.13666612,"Avenida Rovisco Pais, 1 â 1049-001 Lisboa",,US Census
IBME,"IBME, University of Oxford","<a href=""https://www.ibme.ox.ac.uk/research/biomedical-image-analysis/"" target=""_blank"">view website</a> ",https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""https://www.ox.ac.uk "" target=""_blank"">view website</a>","Oxford, United Kingdom",51.754845,-1.254449,,,US Census
Biomedical Imaging Laboratory,"Biomedical Imaging Laboratory, Cl’nica Universidad de Navarra","<a href=""https://www.cun.es/nuestros-profesionales/servicios-medicos/radiologia/biomedical-imaging-laboratory/"" target=""_blank"">view website</a> ",,,,42.8058,-1.6641,,,US Census
CIBIT,"CIBIT, ICNAS, Universidade de Coimbra","<a href=""https://www.uc.pt/en/uid/cibit/"" target=""_blank"">view website</a> ",https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://yale.edu"" target=""_blank"">view website</a>",,40.218129,-8.415957,,,
GABRMN,"GABRMN, Universitat Autonoma de Barcelona",,,,,41.502035,2.085047,,,
IBEB,"IBEB, Faculdade de Ciencias",,,,,38.75783219,-9.158329725,,,
Quantitative Bio-Imaging group,"Quantitative Bio-Imaging group, CCMAR",,,,,37.04374401,-7.973352346,,,
LPI,"LPI, University of Valladolid",,,,,41.66281034,-4.705684433,,,
Proaction Lab,"Proaction Lab, Universidade de Coimbra",,,,,40.210404,-8.424135,,,
Shemesh Lab,"Shemesh Lab, Champalimaud Foundation",,,,,38.69363573,-9.221434376,,,
SPiN,"SPiN, Basque Center on Cognition, Brain and Language ",,,,,43.29440262,-1.986350802,,,